Species	M00003;M00020;M00025;M00037;M00040;M00052;M00079;M00081;M00117;M00120;M00344;M00549;M00550;M00790;M00823;M00842;M00843;M00855;M00892;M00921	EventOccured
node677_	6.5;2.0;0.5;0.0;0.5;3.0;0.0;0.0;1.0;1.5;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.5;1.5;1.0	0
node677_	6.5;2.0;0.5;0.0;0.5;3.0;0.0;0.0;1.0;1.5;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.5;1.5;1.0	0
node895_	7.5;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.5	0
node895_	7.5;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.5	0
node896_	7.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.5	1
node896_	7.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.5	0
node678_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.5;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0	0
node678_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.5;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0	0
node777_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0	0
node777_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0	0
node806_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.5	0
node806_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.5	0
node817_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.5;0.5	0
node817_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.5;0.5	0
node819_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;0.5	0
node819_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;0.5	0
node820_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;0.5	0
node820_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;0.5	0
node893_	6.0;2.0;0.5;0.0;0.5;3.0;0.0;0.0;1.0;1.0;0.5;0.0;0.0;0.0;0.0;0.5;0.5;0.5;1.0;0.5	0
node893_	6.0;2.0;0.5;0.0;0.5;3.0;0.0;0.0;1.0;1.0;0.5;0.0;0.0;0.0;0.0;0.5;0.5;0.5;1.0;0.5	0
node894_	6.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0	0
node894_	6.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0	0
node821_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;0.5	0
node821_	6.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;1.0;0.5	0
node892_	7.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0	0
node892_	7.0;2.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0	0
node822_	6.0;2.0;0.5;0.0;0.5;3.0;0.0;0.0;1.0;1.5;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.5;1.0;0.5	0
node822_	6.0;2.0;0.5;0.0;0.5;3.0;0.0;0.0;1.0;1.5;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.5;1.0;0.5	0
node891_	4.5;2.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0	0
